what,kind,bundleId,bundleVersion,description,time
error,log,,,"Error in JDT Core during reconcile",1317588503737
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jdt.ui"".",1317588503743
error,log,,,"Error in JDT Core during AST creation",1317588503743
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jdt.ui"".",1317588503919
error,log,,,"Error in JDT Core during AST creation",1317588503920
error,log,,,"Exception occurred during problem detection:\n----------------------------------- SOURCE BEGIN -------------------------------------\n/**\n * \n */\n \n\nimport java.io.*;\n\n\nclass Contestant extends NoTippingPlayer {\n\tprivate static BufferedReader br;\n\tprivate String status;\n\tprivate Integer[] torque = {-9, -3};\n\t\n\tContestant(int port) {\n\t\tsuper(port);\n\t}\n\n\tprivate String\n\t\n\tprotected String process(String command) {\n\t\tthis.status = command;\n\t\t\n\t\t//System.out.println(command);\n\t\t//System.out.println(""Enter move (position weight): "");\n\t\ttry {\n\t\t\t//return ""3 3"";\n\t\t\treturn br.readLine();\n\t\t} catch (Exception ev) {\n\t\t\tSystem.out.println(ev.getMessage());\n\t\t}\n\t\treturn """";\t\t\t\n\t}\n\n\tpublic static void main(String[] args) throws Exception {\n\t\tbr = new BufferedReader(new InputStreamReader(System.in));\n\t\tContestant con = new Contestant(Integer.parseInt(args[0]));\n\t\tcon.process(br.toString());\n\t}\n}\n\n----------------------------------- SOURCE END -------------------------------------",1317588512802
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jdt.ui"".",1317588512804
error,log,,,"Error in JDT Core during reconcile",1317588512805
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jdt.ui"".",1317588512812
error,log,,,"Error in JDT Core during AST creation",1317588512813
